id,label,date,number
forrest-gump,avgRating,2024-09-26,4.14
forrest-gump,numReviews,2024-09-26,114912
forrest-gump,numRatings,2024-09-26,2045861
forrest-gump,numLikes,2024-09-26,1210180
forrest-gump,numFans,2024-09-26,52895
inglourious-basterds,numViews,2024-09-26,2861025
inglourious-basterds,avgRating,2024-09-26,4.34
inglourious-basterds,numReviews,2024-09-26,162390
inglourious-basterds,numRatings,2024-09-26,1937019
inglourious-basterds,numLikes,2024-09-26,1189619
inglourious-basterds,numFans,2024-09-26,56411
little-women-2019,numViews,2024-09-26,2245135
little-women-2019,avgRating,2024-09-26,4.15
little-women-2019,numReviews,2024-09-26,299740
little-women-2019,numRatings,2024-09-26,1599637
little-women-2019,numLikes,2024-09-26,1013504
little-women-2019,numFans,2024-09-26,109906
se7en,numViews,2024-09-26,2620024
se7en,avgRating,2024-09-26,4.33
se7en,numReviews,2024-09-26,181364
se7en,numRatings,2024-09-26,1787809
se7en,numLikes,2024-09-26,1033433
se7en,numFans,2024-09-26,53838
10-things-i-hate-about-you,numViews,2024-09-26,2560498
10-things-i-hate-about-you,avgRating,2024-09-26,4.01
10-things-i-hate-about-you,numReviews,2024-09-26,285680
10-things-i-hate-about-you,numRatings,2024-09-26,1678712
10-things-i-hate-about-you,numLikes,2024-09-26,1086322
10-things-i-hate-about-you,numFans,2024-09-26,94202
the-silence-of-the-lambs,numViews,2024-09-26,2537308
the-silence-of-the-lambs,avgRating,2024-09-26,4.33
the-silence-of-the-lambs,numReviews,2024-09-26,155565
the-silence-of-the-lambs,numRatings,2024-09-26,1632056
the-silence-of-the-lambs,numLikes,2024-09-26,977822
the-silence-of-the-lambs,numFans,2024-09-26,43188
kill-bill-vol-1,numViews,2024-09-26,2568657
kill-bill-vol-1,avgRating,2024-09-26,4.19
kill-bill-vol-1,numReviews,2024-09-26,170367
kill-bill-vol-1,numRatings,2024-09-26,1638543
kill-bill-vol-1,numLikes,2024-09-26,984858
kill-bill-vol-1,numFans,2024-09-26,48433
avengers-infinity-war,numViews,2024-09-26,3411225
avengers-infinity-war,avgRating,2024-09-26,3.97
avengers-infinity-war,numReviews,2024-09-26,130445
avengers-infinity-war,numRatings,2024-09-26,2098615
avengers-infinity-war,numLikes,2024-09-26,1190372
avengers-infinity-war,numFans,2024-09-26,18829
the-godfather,numViews,2024-09-26,2221915
the-godfather,avgRating,2024-09-26,4.55
the-godfather,numReviews,2024-09-26,172086
the-godfather,numRatings,2024-09-26,1463654
the-godfather,numLikes,2024-09-26,887435
the-godfather,numFans,2024-09-26,69768
baby-driver,numViews,2024-09-26,2830498
baby-driver,avgRating,2024-09-26,3.71
baby-driver,numReviews,2024-09-26,176576
baby-driver,numRatings,2024-09-26,1867739
baby-driver,numLikes,2024-09-26,985586
baby-driver,numFans,2024-09-26,30454
call-me-by-your-name,numViews,2024-09-26,2370827
call-me-by-your-name,avgRating,2024-09-26,3.85
call-me-by-your-name,numReviews,2024-09-26,257738
call-me-by-your-name,numRatings,2024-09-26,1618725
call-me-by-your-name,numLikes,2024-09-26,888782
call-me-by-your-name,numFans,2024-09-26,75342
shutter-island,numViews,2024-09-26,2726673
shutter-island,avgRating,2024-09-26,4.12
shutter-island,numReviews,2024-09-26,151701
shutter-island,numRatings,2024-09-26,1798010
shutter-island,numLikes,2024-09-26,957466
shutter-island,numFans,2024-09-26,38502
avengers-endgame,numViews,2024-09-26,3285047
avengers-endgame,avgRating,2024-09-26,3.89
avengers-endgame,numReviews,2024-09-26,152426
avengers-endgame,numRatings,2024-09-26,2041752
avengers-endgame,numLikes,2024-09-26,1100962
avengers-endgame,numFans,2024-09-26,21822
django-unchained,numViews,2024-09-26,2773816
django-unchained,avgRating,2024-09-26,4.28
django-unchained,numReviews,2024-09-26,126799
django-unchained,numRatings,2024-09-26,1845547
django-unchained,numLikes,2024-09-26,1084001
django-unchained,numFans,2024-09-26,40901
glass-onion,numViews,2024-09-26,2360566
glass-onion,avgRating,2024-09-26,3.44
glass-onion,numReviews,2024-09-26,346303
glass-onion,numRatings,2024-09-26,1764998
glass-onion,numLikes,2024-09-26,666477
glass-onion,numFans,2024-09-26,1689
ratatouille,numViews,2024-09-26,3481552
ratatouille,avgRating,2024-09-26,4.21
ratatouille,numReviews,2024-09-26,141697
ratatouille,numRatings,2024-09-26,1942593
ratatouille,numLikes,2024-09-26,1196401
ratatouille,numFans,2024-09-26,35558
dead-poets-society,numViews,2024-09-26,2088030
dead-poets-society,avgRating,2024-09-26,4.27
dead-poets-society,numReviews,2024-09-26,211631
dead-poets-society,numRatings,2024-09-26,1355799
dead-poets-society,numLikes,2024-09-26,887532
dead-poets-society,numFans,2024-09-26,119209
hereditary,numViews,2024-09-26,2261589
hereditary,avgRating,2024-09-26,3.96
hereditary,numReviews,2024-09-26,260052
hereditary,numRatings,2024-09-26,1640995
hereditary,numLikes,2024-09-26,834853
hereditary,numFans,2024-09-26,35406
challengers,numViews,2024-09-26,1425202
challengers,avgRating,2024-09-26,3.99
challengers,numReviews,2024-09-26,594470
challengers,numRatings,2024-09-26,1254076
challengers,numLikes,2024-09-26,552398
challengers,numFans,2024-09-26,19301
her,numViews,2024-09-26,2157067
her,avgRating,2024-09-26,4.01
her,numReviews,2024-09-26,183997
her,numRatings,2024-09-26,1457508
her,numLikes,2024-09-26,790057
her,numFans,2024-09-26,35443
the-social-network,numViews,2024-09-26,2684467
the-social-network,avgRating,2024-09-26,3.94
the-social-network,numReviews,2024-09-26,196863
the-social-network,numRatings,2024-09-26,1679821
the-social-network,numLikes,2024-09-26,829434
the-social-network,numFans,2024-09-26,32017
fantastic-mr-fox,numViews,2024-09-26,2126907
fantastic-mr-fox,avgRating,2024-09-26,4.28
fantastic-mr-fox,numReviews,2024-09-26,250551
fantastic-mr-fox,numRatings,2024-09-26,1458747
fantastic-mr-fox,numLikes,2024-09-26,922772
fantastic-mr-fox,numFans,2024-09-26,81821
scott-pilgrim-vs-the-world,numViews,2024-09-26,2404187
scott-pilgrim-vs-the-world,avgRating,2024-09-26,3.87
scott-pilgrim-vs-the-world,numReviews,2024-09-26,250507
scott-pilgrim-vs-the-world,numRatings,2024-09-26,1585391
scott-pilgrim-vs-the-world,numLikes,2024-09-26,965961
scott-pilgrim-vs-the-world,numFans,2024-09-26,62164
the-matrix,numViews,2024-09-26,2759940
the-matrix,avgRating,2024-09-26,4.16
the-matrix,numReviews,2024-09-26,154877
the-matrix,numRatings,2024-09-26,1648419
the-matrix,numLikes,2024-09-26,949441
the-matrix,numFans,2024-09-26,35491
nope,numViews,2024-09-26,1856136
nope,avgRating,2024-09-26,3.71
nope,numReviews,2024-09-26,349061
nope,numRatings,2024-09-26,1465826
nope,numLikes,2024-09-26,648107
nope,numFans,2024-09-26,13654
taxi-driver,numViews,2024-09-26,2005555
taxi-driver,avgRating,2024-09-26,4.16
taxi-driver,numReviews,2024-09-26,164419
taxi-driver,numRatings,2024-09-26,1368047
taxi-driver,numLikes,2024-09-26,720730
taxi-driver,numFans,2024-09-26,46743
inside-out-2015,numViews,2024-09-26,3274846
inside-out-2015,avgRating,2024-09-26,3.84
inside-out-2015,numReviews,2024-09-26,135213
inside-out-2015,numRatings,2024-09-26,1879632
inside-out-2015,numLikes,2024-09-26,927064
inside-out-2015,numFans,2024-09-26,8973
the-perks-of-being-a-wallflower,numViews,2024-09-26,2377975
the-perks-of-being-a-wallflower,avgRating,2024-09-26,3.94
the-perks-of-being-a-wallflower,numReviews,2024-09-26,213223
the-perks-of-being-a-wallflower,numRatings,2024-09-26,1510226
the-perks-of-being-a-wallflower,numLikes,2024-09-26,922219
the-perks-of-being-a-wallflower,numFans,2024-09-26,89278
jojo-rabbit,numViews,2024-09-26,2082770
jojo-rabbit,avgRating,2024-09-26,4.03
jojo-rabbit,numReviews,2024-09-26,158575
jojo-rabbit,numRatings,2024-09-26,1475414
jojo-rabbit,numLikes,2024-09-26,826950
jojo-rabbit,numFans,2024-09-26,20651
guardians-of-the-galaxy,numViews,2024-09-26,3184086
guardians-of-the-galaxy,avgRating,2024-09-26,3.79
guardians-of-the-galaxy,numReviews,2024-09-26,96999
guardians-of-the-galaxy,numRatings,2024-09-26,1837829
guardians-of-the-galaxy,numLikes,2024-09-26,1016970
guardians-of-the-galaxy,numFans,2024-09-26,8037
good-will-hunting,numViews,2024-09-26,2128845
good-will-hunting,avgRating,2024-09-26,4.32
good-will-hunting,numReviews,2024-09-26,169959
good-will-hunting,numRatings,2024-09-26,1392450
good-will-hunting,numLikes,2024-09-26,797262
good-will-hunting,numFans,2024-09-26,73356
blade-runner-2049,numViews,2024-09-26,1930721
blade-runner-2049,avgRating,2024-09-26,4.12
blade-runner-2049,numReviews,2024-09-26,181912
blade-runner-2049,numRatings,2024-09-26,1362189
blade-runner-2049,numLikes,2024-09-26,730691
blade-runner-2049,numFans,2024-09-26,45772
arrival-2016,numViews,2024-09-26,2232685
arrival-2016,avgRating,2024-09-26,4.12
arrival-2016,numReviews,2024-09-26,168112
arrival-2016,numRatings,2024-09-26,1530816
arrival-2016,numLikes,2024-09-26,830310
arrival-2016,numFans,2024-09-26,44059
500-days-of-summer,numViews,2024-09-26,2101772
500-days-of-summer,avgRating,2024-09-26,3.67
500-days-of-summer,numReviews,2024-09-26,278489
500-days-of-summer,numRatings,2024-09-26,1376586
500-days-of-summer,numLikes,2024-09-26,651313
500-days-of-summer,numFans,2024-09-26,30318
black-panther,numViews,2024-09-26,3048672
black-panther,avgRating,2024-09-26,3.65
black-panther,numReviews,2024-09-26,96405
black-panther,numRatings,2024-09-26,1821170
black-panther,numLikes,2024-09-26,954260
black-panther,numFans,2024-09-26,4436
the-lord-of-the-rings-the-fellowship-of-the-ring,numViews,2024-09-26,2637055
